Athlete_ID,Slab_Affinity,Coordination_Affinity,Power_Affinity,Compression_Affinity,Dynamic_Affinity,Press_Affinity
ABARK,0.26356064488744385,0.44994767871222896,0.4193474227357898,0.3245839357429719,0.41648855385921285,0.2055971159387271
ACHI,0.0,0.06942496493688638,0.15967741935483867,0.09979838709677417,0.06942496493688638,0.17108294930875573
AGINESLOPEZ,0.3861268556005398,0.46867813765182187,0.6183631728894887,,0.5143235627530365,0.3967611336032389
AGIRARD,0.7898366800535475,0.41117255462528074,0.28925887077722656,0.5104378894889904,0.3295611162599114,0.7871485943775101
AINTRACHUPONGSE,0.3542626728110599,0.2708325998943848,0.27933657619621605,0.20541176470588238,0.24465494106320101,0.29598924731182796
AKHAZANOV,0.3076923076923077,0.175,0.34852453291426577,0.400892458723784,0.21077996195307544,0.0
ALEMAIRE,0.4576271186440678,0.4832666666666666,0.3369268292682927,0.1992727272727273,0.45721126760563385,0.14953846153846156
AMEGOS,0.4220676870307652,0.7729700404113854,0.5864696774193549,0.2491336405529954,0.6523783259324187,0.8875554044133521
AONDRA,0.5414813825940882,0.6016425947341919,0.5983444894286999,0.7225806451612903,0.624677581527784,0.8386960563802669
APEHARC,0.3330615334026607,0.3665785289524161,0.3913834236530323,0.3998254086966873,0.3622350782202512,0.39074718683657583
ASHAHAR,0.21502834008097166,0.6749180435496225,0.4883632683106367,0.5692173913043478,0.47697325654330847,0.5019178716020821
BHANNA,0.2289599286033021,0.4503576505917907,0.3442813958206533,0.416,0.3519978929436694,0.21913597246127367
BVARGAS,0.20483457640084146,0.17974297188755023,0.1682268383880349,0.21788235294117647,0.15269468987059348,0.17763855421686747
CBARRON,0.992,0.6935999999999999,0.5946666666666667,0.4000000000000001,0.5014117647058824,0.7777142857142857
CCHAN,0.384,0.3963716198125836,0.39261503155479055,0.38922776821571997,0.3946317443687794,
CDUFFY,0.210696950573038,0.5469765224987346,0.5110741773622424,0.3989238800429866,0.5537058795363629,0.28189884645632396
DAKHTAR,0.24000553777451805,0.4242229243995879,0.4420763104554663,0.3995176333517431,0.4111636676277835,0.33225420194100386
DCOUNTRYMAN,0.39810267462813137,0.16754113227101955,0.12903225806451613,0.13440860215053763,0.17651768363777692,0.4019734853392063
DLEE,0.690660134037096,0.7123900255407227,0.7378365763594071,0.7479250238562433,0.7278554857229658,0.678314165479315
DSANO,0.875234009207562,0.6507935742971889,0.4782562132588325,0.3987951807228916,0.5727418059334111,0.9935850066934404
EARRIAGADAKRUGER,0.2735157894736842,0.3232404271463735,0.19446535213076113,0.2616777709918013,0.2728701464171751,0.20853333333333335
EERNSBERGER,0.06342780026990553,0.23856882591093115,0.20114200029989504,,0.21586137651821866,0.3805668016194332
EGRUZITIS,0.47495779459268106,0.570592077213203,0.45117548601755114,0.40180645161290324,0.5490032755102355,0.4999749546440107
EKRUGER,0.3855322580645161,0.5284520917678813,0.6339186389602348,0.622,0.5208765531463837,0.41589605734767027
GFRANGANILLO,0.0,0.1487854251012146,0.25830517939410863,0.26133333333333336,0.15799028340080973,0.26133333333333336
GLEVIN,0.5375384615384615,0.7342500000000001,0.3003478260869565,0.17422222222222222,0.6174736842105264,0.996
GPEINADOFRANGANILLO,0.3858614550367368,0.42770853585118457,0.3105079479553543,0.23540344092419058,0.4168490373491703,0.38106666296522496
GVEZONIK,0.0,0.15030364372469635,0.46783749825492116,0.664,0.24960242914979758,0.664
HDUYSEN,0.4145297161824018,0.5244433961571141,0.5572756003692628,0.4870620960726804,0.5567448176612647,0.3203077852727747
HMCARTHUR,0.5158474754659462,0.43395127087553825,0.46475309063514514,0.5719971651311128,0.4428108895164632,0.5275511856564489
IFIDEL,0.396,0.26999999999999996,0.11733333333333335,0.11,0.2145,0.1584
JCHON,0.21821050438980863,0.3944410124639431,0.5242974399362805,0.5127322664670533,0.46372606404708133,0.4188181516638811
JCLEMENCE,0.34227848101265823,0.23509859154929577,0.2758867924528302,0.21173333333333336,0.20963636363636365,0.45745454545454545
JFU,0.0,0.3895644114921223,0.16896729776247849,0.34041124497991965,0.3362281124497992,0.03504928806133625
JHU,0.0,0.21302575141327265,0.344944461374003,0.3351578947368421,0.3052500311987579,0.13333333333333333
JKRUDER,0.0,0.08800000000000001,0.29443478260869566,0.2922666666666667,0.19866666666666669,
JMACDOUGALL,0.5421589573015486,0.5297440796138908,0.2996269150448577,0.2654888057979043,0.416501644640466,0.33829926290723955
JPOPE,0.08149405772495755,0.04301075268817204,0.09677419354838708,0.0,0.09677419354838708,0.3096774193548387
JPOSCH,0.4975780237590665,0.5215599493670201,0.4135769139458096,0.4229999867224285,0.5028494594325411,0.4144511600683549
JSCHUBERT,0.4443070592662508,0.5913797285917864,0.6371812026130713,0.7193677419354839,0.5922073278451048,0.5487482165916527
JWIMMER,0.2502933333333333,0.3239865508545811,0.11675846242111303,0.10830000000000002,0.21811970462495142,0.17890909090909093
KDOHI,0.6680376953357987,0.3615313925007709,0.3374280822524258,0.3955712505193187,0.35933540419256454,0.5690555771472989
KFUJII,0.40282805441975844,0.44053517608694254,0.3838050779584316,0.23350135942156316,0.3962935182764001,0.3792524039541973
KYAMAGUCHI,0.21052631578947367,0.41858450946643716,0.41364689527340126,0.0746004016064257,0.3987930053547523,
LAVEZOU,0.3829361336435473,0.3665551130580999,0.26201512235054647,0.18092307692307694,0.3262318576043187,0.3950750033187308
LBOLDRINI,0.38204100612978226,0.36629004908522983,0.32324387203988364,0.2509770510613884,0.33318697010263276,0.3694779116465863
LFAVOT,0.26948518448835507,0.29869987403770837,0.18249601387677697,0.22592186929536331,0.2928225513389591,0.3095910407261073
LMARTINS,0.380184331797235,0.12282878411910667,0.1487431206306708,0.2008032128514056,0.17517499433216735,0.26612903225806445
LMOKROLUSKY,0.4889057892240872,0.53030413077091,0.3325107298575582,0.2974616375178132,0.4582901269375742,0.3913828647925034
LSTRAUBHAAR,0.0,0.45473694779116464,0.22063912794033275,0.0862222222222222,0.3932860089004667,0.0
LTRANDAFIR,0.6291318513099248,0.42869849124208115,0.27756033145259623,0.3235319537431527,0.4134633493116801,0.5202866004962778
LVONFREIER,0.12494915254237285,0.19713826735513482,0.11873515113083913,0.0816470588235294,0.16643348393574298,0.16
MBERGANT,0.39810267462813137,0.16754113227101955,0.12903225806451613,0.13440860215053763,0.17651768363777692,0.4019734853392063
MBERTONE,0.7772329687253564,0.5747595535639733,0.33771376171562945,0.3966626728110599,0.5119453410893707,0.7845514592933948
MCORNU,0.5026387395736794,0.6473076823422723,0.509106131844451,0.4685490196078432,0.5885995537706381,0.6971117960212945
MKLEESATTEL,0.13894428378638904,0.16233782438441627,0.11218727291601784,0.0,0.14321236658078762,0.2380698380566801
MMAWEM,0.6004873071394642,0.6657697000397385,0.5605490712516822,0.38832128514056224,0.6254053097819532,0.7854133145485167
MMILNE,0.570114035683874,0.4583526163020695,0.48007366248085703,0.5424423407917384,0.46240845024400573,0.5782458578140348
MNARASAKI,0.6817294916465969,0.6557880033094446,0.5631095770472995,0.5072859853050153,0.6262598208789749,0.7009494049342836
MPASTORSANCHEZ,0.1466275659824047,0.0941965844402277,0.14546153846153848,0.2745,0.13801055718475075,0.12406947890818858
MPICCOLRUAZ,0.384,0.34549718875502006,0.25634423407917384,0.1109718875502008,0.2601767068273092,
MREUSA,0.3879999999999999,0.3104,0.23066666666666666,0.4,0.27968,
MSCHALCK,0.755508045264592,0.8214978996733376,0.6716167784821493,0.6356109409440152,0.7787488801683534,0.7144020320361207
MTERNANT,0.08319185059422751,0.2439068100358423,0.23212365591397852,0.18461538461538465,0.2654569892473118,0.31612903225806455
NCOLLIN,0.2536377941875027,0.4068482116588149,0.42778880983666945,0.26253671928620453,0.4328827136503001,0.5771232370341581
NMARCUS,0.33055777906304223,0.359977004048583,0.3074471921293961,0.34981331386150666,0.3551476599419828,0.6943805668016194
NRUSEV,0.29596365775079725,0.5321372852438202,0.3500710934695949,0.3183951458005937,0.45473443595169205,0.28027669905428165
NSARTIRANA,0.17674418604651165,0.26047619047619053,0.1726792452830189,0.07333333333333333,0.2386909090909091,0.36738461538461537
NUZNIK,0.1925394040813715,0.41390559336959193,0.41844634804008013,0.27062784471218204,0.42004206327537746,0.24823943953211255
OBAUDRAND,0.4112203555916608,0.47701979868985056,0.32828493536188547,0.21891512717536815,0.4361002260864477,0.4188050265578443
OMARK,0.3985434826865063,0.39188778937088303,0.3934904060687194,0.3967951807228916,0.39377840798678587,0.3946430884829641
OPRIHED,0.19116465863453813,0.6145727525486561,0.3725103369141591,0.3608132923852272,0.5054552859324623,0.3538955823293173
PBRAND,0.0,0.3079816408491108,0.229114859437751,0.13428571428571429,0.2623828647925034,
PJENFT,0.48602966884286974,0.6132133899132408,0.46685669639669547,0.40543418872779763,0.5568489669633522,0.5010343346724014
RFULKERSON,0.5326153846153846,0.729,0.3010434782608695,0.17600000000000002,0.6138947368421053,0.988
RGRUBER,0.10628571428571429,0.2796672325976231,0.05379966044142614,0.0,0.11845161290322581,0.09300000000000001
RKAWAMATA,0.23236337650288985,0.5068493140566939,0.584407758834805,0.5665424192805065,0.555142409572959,0.1437666480240395
