Athlete_ID,Slab_Affinity_Shrunk,Coordination_Affinity_Shrunk,Power_Affinity_Shrunk,Compression_Affinity_Shrunk,Dynamic_Affinity_Shrunk,Press_Affinity_Shrunk
ABARK,0.33792106695572105,0.48028188343900485,0.44228097141397077,0.36832898804836334,0.44829902132536037,0.3080036769216231
ACHI,0.3129957014015038,0.3917642127546035,0.40956823063915265,0.3533873862209738,0.40773583626843096,0.40378201859847607
AGINESLOPEZ,0.4605790531685037,0.5227403566661639,0.5249539949388315,0.4620683858456308,0.5251048610183261,0.5047102507883241
AGIRARD,0.6400983061246185,0.47028618404063516,0.3848537877437746,0.486677431558919,0.4195916241554803,0.643370187612955
AINTRACHUPONGSE,0.42465780697552336,0.4552214128097057,0.3971823865595082,0.36510921785950357,0.4149196825002127,0.4166812581980247
AKHAZANOV,0.4351348364155972,0.45154565662935864,0.4584901016940562,0.43812997958056027,0.4563983474567897,0.45511510908791925
ALEMAIRE,0.47413105824992735,0.5090728485230698,0.41140794816888254,0.3199002426832404,0.49139439675411195,0.34169784242247064
AMEGOS,0.4622395959513088,0.6291862295097607,0.5293487276321523,0.41948143678710376,0.5814236475732324,0.6897117922448821
AONDRA,0.5270130475756735,0.5842408071682489,0.5667049371400369,0.6415323867075295,0.5998681439018773,0.7299179333579003
APEHARC,0.3527648818944806,0.39043846537584626,0.40517965441804676,0.4080075840965484,0.38353627056230105,0.406097874376361
ASHAHAR,0.3330275938444221,0.5974020798721115,0.4899416062318261,0.5103904863466209,0.5017877390842963,0.5079890988158334
BHANNA,0.333519930040257,0.49075522543817035,0.40586969103116866,0.43647483815361365,0.4271527168735387,0.3194678327219612
BVARGAS,0.3727906680448696,0.3942056474013616,0.35172845102380207,0.3698203289706147,0.3738303174860717,0.342980002022749
CBARRON,0.615769949146767,0.5656335556256278,0.5208910925536174,0.45111514128463714,0.5234597970593223,0.648922919478811
CCHAN,0.46581533245822254,0.5068859636111758,0.4650738143674768,0.4377881799689939,0.4937100423251384,0.5201315532433363
CDUFFY,0.24418952322245732,0.5460091228128238,0.5085269869649386,0.4069240889229596,0.5506690454341797,0.31278086400278854
DAKHTAR,0.2796394788438327,0.44662473143076115,0.45034032843373334,0.4092477504063479,0.43165626609289726,0.3570681917356515
DCOUNTRYMAN,0.4656079850434177,0.4679436600772565,0.4019827946762015,0.43035937452029915,0.4302155691320173,0.4738957875417202
DLEE,0.676145626657284,0.6976718565578048,0.7176082107643488,0.7254419174958581,0.7130114348766285,0.6686856586475598
DSANO,0.7126111597659257,0.5954169205239711,0.48533885879684757,0.4357045503778228,0.5506844089656873,0.7650212705451144
EARRIAGADAKRUGER,0.35745545762413783,0.41357369364819846,0.31401608783840984,0.3418340169333331,0.3711489140285877,0.3589600601864382
EERNSBERGER,0.36837932307403676,0.46695628109261467,0.41558533804641373,0.4620683858456308,0.44126716825573686,0.5026859592903484
EGRUZITIS,0.4837590160801143,0.5524064757474592,0.4762577532805557,0.43040533565555356,0.5372278916705162,0.5108285077359552
EKRUGER,0.44842886254321995,0.5351894028044348,0.5508158639579702,0.5202253364472196,0.5259246294121459,0.4614990868020241
GFRANGANILLO,0.367769949146767,0.445190608169047,0.4272886286963105,0.4132409406399368,0.4409053479740632,0.4424920872703354
GLEVIN,0.5046232085086204,0.5871214142051162,0.447297533441247,0.3494329305147318,0.5494969103831941,0.5796151090879192
GPEINADOFRANGANILLO,0.4142320823197103,0.4593512769496546,0.362887612465151,0.29362929833520274,0.4474784210575031,0.427421626391262
GVEZONIK,0.367769949146767,0.4455586611686789,0.485159459619773,0.5111868865858827,0.4627177636285841,0.5632920872703353
HDUYSEN,0.4217631231153068,0.5261079501158804,0.5499000598990694,0.48428501715856376,0.5539933681808323,0.3377923649701989
HMCARTHUR,0.5079647301246296,0.47507103671864487,0.4746243450698202,0.5223519099699273,0.4735683708095269,0.5238413694498926
IFIDEL,0.4676657712878653,0.45752796302135645,0.39361607583187813,0.3243024957321231,0.4434573132023308,0.42493903923193205
JCHON,0.25310145667261386,0.4152409059334874,0.5197023662848421,0.5060090974746371,0.47232806294624513,0.42948272025119216
JCLEMENCE,0.40619853188303134,0.36110754824411295,0.3660354714872717,0.33258473799444244,0.34423844448555996,0.48182893737240856
JFU,0.367769949146767,0.5089896934434168,0.40486096296185425,0.4196298483343362,0.4926539904880013,0.3066953565632563
JHU,0.29421595931741357,0.42265044073217056,0.4307804363452278,0.4107641447590992,0.4368118804197176,0.341609297900258
JKRUDER,0.367769949146767,0.4203825490814363,0.4459237960675096,0.4028352279925038,0.439139131384149,0.5201315532433363
JMACDOUGALL,0.532292476329004,0.5319872576393511,0.33856774242425575,0.31335166007039417,0.43779998772251705,0.386330433939416
JPOPE,0.3920251016267791,0.4084736306753642,0.39697036455844736,0.3155588976506747,0.4113502750791636,0.4324423307897956
JPOSCH,0.4966177455022979,0.5243018362192061,0.4259059810636559,0.4279498291452776,0.506734501079611,0.4305329590297651
JSCHUBERT,0.4634957563201836,0.568862420766772,0.5747443913819416,0.5692764508830696,0.5675139203587146,0.5398452546610655
