Athlete_ID,SemiFinals,Finals,Attended,Progression Rate Q-SF,Progression Rate SF-F
RKAWAMATA,5,1,5,1.0,0.2
SANRAKU,12,12,12,1.0,1.0
TNARASAKI,11,4,11,1.0,0.3636363636
DLEE,11,10,11,1.0,0.9090909091
MSCHALCK,11,10,12,0.9166666667,0.9090909091
APEHARC,11,2,12,0.9166666667,0.1818181818
MMILNE,7,4,8,0.875,0.5714285714
JCHON,6,2,7,0.8571428571,0.3333333333
TROBERTS,5,1,6,0.8333333333,0.2
SAMAGASA,10,6,12,0.8333333333,0.6
CDUFFY,9,4,11,0.8181818182,0.4444444444
YPAN,8,3,10,0.8,0.375
DAKHTAR,8,2,10,0.8,0.25
JMACDOUGALL,8,1,10,0.8,0.125
KDOHI,4,1,5,0.8,0.25
MBERTONE,3,1,4,0.75,0.3333333333
PJENFT,6,4,8,0.75,0.6666666667
SRICHARD,6,2,8,0.75,0.3333333333
LMOKROLUSKY,5,0,7,0.7142857143,0.0
MNARASAKI,7,3,10,0.7,0.4285714286
GFRANGANILLO,6,1,9,0.6666666667,0.1666666667
NRUSEV,6,0,10,0.6,0.0
JPOSCH,7,3,12,0.5833333333,0.4285714286
SAVEZOU,4,3,7,0.5714285714,0.75
