Event_ID,Round,Boulder_Num,Slab,Coordination,Power,Compression,Dynamic,Press,Top Rate
HAC23,Semifinal,1,0,0.5,4,3.5,2,0,0
HAC23,Semifinal,2,3.75,3,1,0,2,1,0
HAC23,Semifinal,3,1,1,3,0,3,4,0.2
HAC23,Semifinal,4,0,4.5,4,3,5,0,0.2
HAC23,Final,1,0,2,4,2.5,4,0,0.1666666667
HAC23,Final,2,5,0,0,0,0.5,1,0.5
HAC23,Final,3,0,5,3.5,0,5,0,0
HAC23,Final,4,0,3.5,3,2,3,4,0
SLC23,Semifinal,1,1.5,4.5,1.5,0,4.5,1,0.8181818182
SLC23,Semifinal,2,0,1,5,4,2,0,0.04545454545
SLC23,Semifinal,3,0,0,5,5,1.5,0,0.04545454545
SLC23,Semifinal,4,5,2.5,0,0,1.5,0,0.3636363636
SLC23,Final,1,5,0,3,0,0,3,0.6666666667
SLC23,Final,2,0,3,3.5,0,3.5,3.5,0.8333333333
SLC23,Final,3,4,2.5,0,0,3,0,0.6666666667
SLC23,Final,4,0,1.5,4.5,0,2.5,0,0.8333333333
PRA23,Semifinal,1,0,4,3,2,3,0,0.3
PRA23,Semifinal,2,0,0,5,3.5,2,0,0.45
PRA23,Semifinal,3,0,2,3.5,2,4,0,0.25
PRA23,Semifinal,4,5,3,0,0,3,0,0.25
PRA23,Final,1,0,3.5,3,1.5,4,0,0.8333333333
PRA23,Final,2,0,1.5,4.5,3.5,3.5,0,0.8333333333
PRA23,Final,3,5,3,0.5,0,1.5,1.5,0.3333333333
PRA23,Final,4,0,2,4,4,5,0,1
BRI23,Semifinal,1,5,2,1.5,0,3,0,0.45
BRI23,Semifinal,2,0,1,5,0,2.5,0,0.45
BRI23,Semifinal,3,0,0.5,4.5,0,3,0,0.15
BRI23,Semifinal,4,1,4.5,2.5,0,4,1,0.15
BRI23,Final,1,0,3.5,4,3,4,0,0.4
BRI23,Final,2,0,0,5,5,0,0,0.1666666667
BRI23,Final,3,4.5,2,1,0,2.5,3,1
BRI23,Final,4,0,1.5,5,4,3,2,0.5
IBK23,Semifinal,1,0,3,4,1,4,0,0.35
IBK23,Semifinal,2,0,0.5,4.5,0,3,0,0.45
IBK23,Semifinal,3,0.5,2,4,0.5,3.5,3.5,0.2
IBK23,Semifinal,4,5,0.5,0,0,2,1,0.15
IBK23,Final,1,0,2.5,2,0,3,5,0.8333333333
IBK23,Final,2,0,0,5,0,3.5,0,0.1666666667
IBK23,Final,3,5,2,0,0,2,0,0.3333333333
IBK23,Final,4,0,4,4,0,5,0,0.6666666667
BER23,Semifinal,1,0,3.5,3.5,0,4,0,0.9
BER23,Semifinal,2,0,0,5,2,2.5,0,0.05
BER23,Semifinal,3,5,1.5,0,0,0,0,0.45
BER23,Semifinal,4,0,4.5,4,0,4.5,1.5,0.65
BER23,Final,1,0,0.5,5,0,4,2,0.6666666667
BER23,Final,2,5,0,0.5,0,0,2,0.5
BER23,Final,3,0,4,2.5,0,5,4.5,0.3333333333
BER23,Final,4,0,4.5,5,0,4.5,0,0.1666666667
SLC24,Semifinal,1,5,2,0.5,0,2,0,0.7
SLC24,Semifinal,2,0,0,5,2,1,2,0.15
SLC24,Semifinal,3,0,1,5,0,3.5,0,0.1
SLC24,Semifinal,4,0.5,5,3,0,5,1.5,0.7
SLC24,Final,1,0,4.5,2.5,0,5,2,0.5
SLC24,Final,2,0,3,4.5,2,3,0,0
SLC24,Final,3,5,0,0,0,1.5,2,0.6666666667
SLC24,Final,4,0,1,5,2.5,5,2,0.1666666667
IBK24,Semifinal,1,0,0,5,3,1.5,2,0.4210526316
IBK24,Semifinal,2,0,3,4.5,0,2.5,0,0.05263157895
IBK24,Semifinal,3,0,5,3.5,1.5,5,0,0.05263157895
IBK24,Semifinal,4,5,0,1.5,0,1,1,0.3684210526
IBK24,Final,1,0,4.5,3.5,0,4.5,1,0.8333333333
IBK24,Final,2,0,2,5,1,2,0,0
IBK24,Final,3,5,0,0,1,0,1,0.6666666667
IBK24,Final,4,0,3.5,4,1.5,5,4,0.3333333333
PRA24,Semifinal,1,0,2.5,3,0,4,2,0.75
PRA24,Semifinal,2,5,0,2,1.5,2,0.5,0.4
PRA24,Semifinal,3,0,4,4.5,3,5,0,0.45
PRA24,Semifinal,4,1,3.5,3.5,0,4.5,1.5,0.2
PRA24,Final,1,1,3.5,4.5,0.5,4,2.5,0.8333333333
PRA24,Final,2,0,1,4.5,3,4.5,0,0
PRA24,Final,3,5,2.5,1.5,0,3.5,0,0
PRA24,Final,4,0,0,5,3.5,1.5,3,0.6666666667
SEO24,Semifinal,1,5,0,0,0,0,2,0.55
SEO24,Semifinal,2,0,2,5,3,2,0,0.35
SEO24,Semifinal,3,0,2.5,5,0,1.5,2.5,0.85
SEO24,Semifinal,4,0,0.5,5,0,5,2.5,0.6
SEO24,Final,1,0,1.5,5,2,2,0,0.3333333333
SEO24,Final,2,0,0,4.5,2.5,1.5,1.5,0.1666666667
SEO24,Final,3,5,0,1.5,2,1.5,0.5,0
SEO24,Final,4,0,0,5,4,4,2,0.1666666667
KEQ25,Semifinal,1,0,4,1,2,5,0.5,0.5833333333
KEQ25,Semifinal,2,0,2.5,5,4.5,1.5,0,0.375
KEQ25,Semifinal,3,0,0,5,1,1,0,0.08333333333
KEQ25,Semifinal,4,5,0,3,0,0,5,0.1666666667
KEQ25,Final,1,0,0,5,4,2,0,0.5
KEQ25,Final,2,5,0,0.5,0,1,2,0.375
KEQ25,Final,3,0,5,1,0,5,0,0.75
KEQ25,Final,4,0,0,3.75,0,1,5,0.625
CUR25,Semifinal,1,4.75,2.5,1,0,1.5,0,0.32
CUR25,Semifinal,2,0,5,3,2.5,5,1,0.24
CUR25,Semifinal,3,0,1.5,4.5,3,3.5,1.5,0.4
CUR25,Semifinal,4,0,2,5,3.5,2,0,0.04
CUR25,Final,1,5,3,0,2,2.5,2,0.25
CUR25,Final,2,0,1,5,3,2,0.5,0
CUR25,Final,3,2.5,1.5,5,5,3.5,2,0.125
CUR25,Final,4,0,5,4,3,5,0,0.125
SLC25,Semifinal,1,5,0,5,4,1.5,1.5,0.1666666667
SLC25,Semifinal,2,0,0,5,0,4,0,0.2916666667
SLC25,Semifinal,3,0,0,5,0,2,0,0.125
SLC25,Semifinal,4,4,3.5,1,0,4,1.5,0.4166666667
SLC25,Final,1,0,0,5,1,3.5,0,0.25
SLC25,Final,2,1.5,4.5,2,0,5,0,0.75
SLC25,Final,3,5,0,0,0,1.5,0,0.25
SLC25,Final,4,0,1,5,4,4.5,0,0.25
PRA25,Semifinal,1,0,1.5,5,1,2,0,0.03703703704
PRA25,Semifinal,2,5,2,0,0,2,0,0.4444444444
PRA25,Semifinal,3,0,4.5,2,0,5,0,0.4074074074
PRA25,Semifinal,4,0,2,5,0,3.5,0,0
PRA25,Final,1,4.5,3.5,1,0,2.5,0,1
PRA25,Final,2,0,5,2,0,5,0,0.125
PRA25,Final,3,0,1.5,3,1.5,5,0,0.875
PRA25,Final,4,2,3,2,1,5,3,0.375
BER25,Semifinal,1,0,5,2.5,0,5,0,0.3333333333
BER25,Semifinal,2,0,1.5,5,4.5,1.5,0,0.08333333333
