Event_ID,Location,Country,Year,FinalBestScore,SFBest
HAC23,Hachioji,JAP,2023,59.2,68.7
SLC23,Salt Lake City,USA,2023,99.8,99.9
PRA23,Prague,CZE,2023,99.9,83.9
BRI23,Brixen,ITA,2023,84.3,83.5
IBK23,Innsbruck,AUT,2023,74.2,99.2
BER23,Bern,SUI,2023,83.9,99.3
SLC24,Salt Lake City,USA,2024,84.2,84.6
IBK24,Innsbruck,AUT,2024,74.5,99
PRA24,Prague,CZE,2024,68.4,98.9
SEO24,Seoul,KOR,2024,69.8,99.5
KEQ25,Keqiao,CHN,2025,99.7,99.3
CUR25,Curitaba,BRA,2025,69.7,99.6
SLC25,Salt Lake City,USA,2025,84.4,84.3
PRA25,Prague,CZE,2025,99.1,84.3
BER25,Bern,SUI,2025,84.2,99.8
IBK25,Innsbruck,AUT,2025,69.8,84.8
SEO25,Seoul,KOR,2025,99.2,99.2
KEQ26,Keqiao,CHN,2026,84.4,99.6
BER26,Bern,SUI,2026,99.7,74.2
MAD26,Madrid,SPN,2026,99.3,84.6
PRA26,Prague,CZE,2026,55,74.6
IBK26,Innsbruck,AUT,2026,74,99.7
