Athlete_ID,SemiFinals,Finals,Attended,Progression Rate Q-SF,Progression Rate SF-F
EDULUB,0,0,2,0,0
NIARILOVETS,0,0,1,0,0
ASUTER,0,0,2,0,0
FMEDINA,0,0,2,0,0
DPARKS,0,0,10,0,0
MTHOMAS,0,0,3,0,0
AKATHAN,0,0,1,0,0
AHOFHERR,0,0,8,0,0
JPOSCH,7,3,12,0.5833333333,0.4285714286
NUZNIK,3,1,7,0.4285714286,0.3333333333
RGRUBER,2,0,11,0.1818181818,0
TUZNIK,1,0,5,0.2,0
CLAPORTE,0,0,5,0,0
HDUYSEN,6,11,11,0.5454545455,1.833333333
NCOLLIN,3,0,7,0.4285714286,0
ALOPEZ,0,0,1,0,0
AMACEDO,0,0,4,0,0
DPERES,0,0,1,0,0
FFOGANHOLO,0,0,1,0,0
RHANADA,0,0,8,0,0
NRUSEV,6,0,10,0.6,0
SKIROV,2,0,9,0.2222222222,0
HDORVAL,0,0,9,0,0
MRODRIGUEZ,0,0,11,0,0
OBAUDRAND,3,1,10,0.3,0.3333333333
TFOLEY,0,0,2,0,0
BVARGAS,1,0,8,0.125,0
CWAGNER,0,0,5,0,0
DCABALLERO,0,0,2,0,0
JURRUTIA,0,0,5,0,0
HSONG,0,0,1,0,0
JFU,1,0,3,0.3333333333,0
JYAO,0,0,3,0,0
JHU,1,0,5,0.2,0
XBAI,1,1,6,0.1666666667,1
YPAN,8,3,10,0.8,0.375
ZXU,2,0,6,0.3333333333,0
AROA,0,0,1,0,0
JMARTIN,0,0,3,0,0
TARCE,0,0,3,0,0
AENDRLE,0,0,2,0,0
AONDRA,1,0,1,1,0
DNAIMJI,0,0,1,0,0
JSTIPEK,0,0,1,0,0
LMOKROLUSKY,5,0,7,0.7142857143,0
LTRAVNICEK,0,0,1,0,0
LNAIMJI,0,0,1,0,0
MSTRANIK,0,0,1,0,0
TCERMAK,0,0,1,0,0
AANDRES,0,0,3,0,0
BGUITART,0,0,1,0,0
CJUNQUE,0,0,1,0,0
GFRANGANILLO,6,1,9,0.6666666667,0.1666666667
HALVAREZ,0,0,6,0,0
MSANCHEZ,2,0,3,0.6666666667,0
AVAGANOV,0,0,1,0,0
ALINDFORS,0,0,2,0,0
TSIMONEN,0,0,4,0,0
ALEMAIRE,3,0,7,0.4285714286,0
AGIRARD,3,0,7,0.4285714286,0
ABRIS,0,0,1,0,0
CCLAUDE,0,0,2,0,0
MBERTONE,3,1,4,0.75,0.3333333333
MSCHALCK,11,10,12,0.9166666667,0.9090909091
PJENFT,6,4,8,0.75,0.6666666667
SAVEZOU,4,3,7,0.5714285714,0.75
SRICHARD,6,2,8,0.75,0.3333333333
ADUNNE,0,0,5,0,0
DAKHTAR,8,2,10,0.8,0.25
JMACDOUGALL,8,1,10,0.8,0.125
LMARTINS,1,0,4,0.25,0
MMILNE,7,4,8,0.875,0.5714285714
RCONLON,0,0,1,0,0
SBUTTERWORTH,0,0,4,0,0
TROBERTS,5,1,6,0.8333333333,0.2
EKRUGER,4,0,11,0.3636363636,0
FALTEMOLLER,0,0,3,0,0
JKORNER,0,0,1,0,0
LFREIER,2,0,9,0.2222222222,0
LTRANDAFIR,3,1,10,0.3,0.3333333333
TBLOEM,5,1,10,0.5,0.2
TWURTHNER,1,0,8,0.125,0
YFLOHE,1,0,1,1,0
EFLORES,0,0,1,0,0
ALACTAOEN,0,0,2,0,0
CCHAN,1,0,2,0.5,0
HCHAN,0,0,1,0,0
SWAI,0,0,1,0,0
TFARKAS,0,0,2,0,0
RRAMADHAN,0,0,6,0,0
RRAMADHAN2,1,0,6,0.1666666667,0
BPEREIRA,0,0,5,0,0
VSHANKER,0,0,3,0,0
ASALIMIAN,0,0,5,0,0
GASMUNDARSON,0,0,1,0,0
ABARK,5,1,9,0.5555555556,0.2
IFIDEL,1,0,5,0.2,0
OMARK,1,0,3,0.3333333333,0
OPRIHED,3,1,10,0.3,0.3333333333
TYAKOBOVITCH,2,0,6,0.3333333333,0
LBOLDRINI,2,0,7,0.2857142857,0
MREUSA,1,0,6,0.1666666667,0
NSALVATORE,0,0,6,0,0
KDOHI,4,1,5,0.8,0.25
MNARASAKI,7,3,10,0.7,0.4285714286
RKAWAMATA,5,1,5,1,0.2
SAMAGASA,10,6,12,0.8333333333,0.6
SANRAKU,12,12,12,1,1
TNARASAKI,11,4,11,1,0.3636363636
DKIM,0,0,5,0,0
DLEE,11,10,11,1,0.9090909091
HNOH,0,0,7,0,0
JCHON,6,2,7,0.8571428571,0.3333333333
ANAIME,0,0,1,0,0
RSIVAKOV,0,0,7,0,0
CLEI,0,0,3,0,0
QKE,0,0,4,0,0
AFOSADO,0,0,6,0,0
JMONTOYA,0,0,2,0,0
LTEJADA,0,0,3,0,0
PPINEYRO,0,0,1,0,0
TGARCIA,0,0,4,0,0
YGANCEDO,0,0,2,0,0
JIVANOV,0,0,1,0,0
VTRPOVSKI,0,0,2,0,0
BMIDDELBURG,0,0,2,0,0
PBRAND,1,0,7,0.1428571429,0
RUPRETI,0,0,1,0,0
TRAI,0,0,1,0,0
PRAVLOCASPERSEN,0,0,1,0,0
TKIRKEB,0,0,1,0,0
LWILLIAMS,0,0,1,0,0
KWONG,0,0,5,0,0
DAUGUSTO,0,0,1,0,0
GCUNHA,0,0,1,0,0
AZAHARIA,0,0,6,0,0
CENACHE,0,0,7,0,0
DRAPA,0,0,1,0,0
DFLUERARU,0,0,4,0,0
JBURNINGHAM,0,0,5,0,0
GVEROSIL,0,0,3,0,0
LBIN,0,0,2,0,0
APEHARC,11,2,12,0.9166666667,0.1818181818
GJUREKOVIC,0,0,3,0,0
MMARGON,0,0,2,0,0
TROMSAK,0,0,5,0,0
PDOZIC,0,0,1,0,0
DTORRONI,0,0,1,0,0
JCLEMENCE,1,0,10,0.1,0
LSTRAUBHAAR,2,0,6,0.3333333333,0
LGUIGNARD,0,0,5,0,0
MJAKOB,0,0,1,0,0
MGHILARDI,0,0,1,0,0
SLEHMANN,0,0,2,0,0
PKURIC,0,0,3,0,0
AMEYER,0,0,5,0,0
GKERN,0,0,4,0,0
LQVARNSTROM,0,0,2,0,0
AINTRACHUPONGSE,1,0,9,0.1111111111,0
AAUEAREECHIT,0,0,4,0,0
CLIN,0,0,2,0,0
CFAN,0,0,7,0,0
MSUMER,0,0,1,0,0
ACHI,1,0,5,0.2,0
BHANNA,3,0,8,0.375,0
CDUFFY,9,4,11,0.8181818182,0.4444444444
CROTHFORK,0,0,2,0,0
HHOYER,0,0,3,0,0
VEVERETT,0,0,11,0,0
